id;nombre_original;latitud;longitud;nombre_normalizado;tipo;pais;region;estado;municipio;parroquia_sector;direccion_referencial;telefono
207;Liceo Caricuao;10,4315049;-66,9605722;;ESCUELA;VENEZUELA;;;;;;
208;Colegio San Agustín;10,4306779;-66,9762074;;ESCUELA;VENEZUELA;;;;;;
209;Escuela Cuatricentenaria;10,435212;-66,9941705;;ESCUELA;VENEZUELA;;;;;;
210;Liceo Militar Gran Mariscal de Ayacucho;10,4294112;-67,0054207;;ESCUELA;VENEZUELA;;;;;;
211;U.E. Francisco Pimentel;10,4964572;-66,9177013;;ESCUELA;VENEZUELA;;;;;;
212;Liceo Carlos Soublette;10,5139097;-66,9000636;;ESCUELA;VENEZUELA;;;;;;
213;U.E.D Ramón Pompilio Oropeza;10,4838849;-66,8904241;;ESCUELA;VENEZUELA;;;;;;
214;Colegio Francia de Caracas;10,4904793;-66,8320106;;ESCUELA;VENEZUELA;;;;;;
215;Colegio Claret;10,4322099;-66,8159734;;ESCUELA;VENEZUELA;;;;;;
216;Academia Merici;10,4549273;-66,838785;;ESCUELA;VENEZUELA;;;;;;
217;U.E. Colegio La Salle de La Colina;10,5113313;-66,8813253;;ESCUELA;VENEZUELA;;;;;;
218;U.E. Colegio Teresiano Nuestra Señora de Coromoto;10,4882273;-66,9242813;;ESCUELA;VENEZUELA;;;;;;
219;International Christian School;10,4835432;-66,8796681;;ESCUELA;VENEZUELA;;;;;;
220;Colegio La Concordia;10,4824289;-66,880949;;ESCUELA;VENEZUELA;;;;;;
221;Colegio San Antonio;10,5021194;-66,876437;;ESCUELA;VENEZUELA;;;;;;
222;Colegio Agustín Codazzi;10,5046489;-66,8745067;;ESCUELA;VENEZUELA;;;;;;
223;Escuela Xoe Xique da Silva;10,4977005;-66,9311009;;ESCUELA;VENEZUELA;;;;;;
224;U.E. Manuel Landaeta Rosales;10,5117841;-66,9457046;;ESCUELA;VENEZUELA;;;;;;
225;U.E.B. Juan Landaeta;10,514486;-66,9433772;;ESCUELA;VENEZUELA;;;;;;
226;Escuela Domingo Faustino Sarmiento;10,5027074;-66,8888903;;ESCUELA;VENEZUELA;;;;;;
227;Liceo José Manuel Nuñez Ponte;10,5032043;-66,8888538;;ESCUELA;VENEZUELA;;;;;;
228;Colegio Santo Tomás de Villanueva;10,4837982;-66,8671854;;ESCUELA;VENEZUELA;;;;;;
229;U.E. Santo Domingo de Guzmán;10,487561;-66,8611953;;ESCUELA;VENEZUELA;;;;;;
230;Escuela Libertador;10,4913617;-66,8545539;;ESCUELA;VENEZUELA;;;;;;
231;Colegio Teresiano;10,5010499;-66,856534;;ESCUELA;VENEZUELA;;;;;;
232;The British School Caracas;10,5107076;-66,8463726;;ESCUELA;VENEZUELA;;;;;;
233;Colegio Don Bosco;10,5060309;-66,850484;;ESCUELA;VENEZUELA;;;;;;
234;Colegio Maria Auxiliadora;10,5050138;-66,8525122;;ESCUELA;VENEZUELA;;;;;;
235;Colegio Cristo Rey;10,5058524;-66,8494455;;ESCUELA;VENEZUELA;;;;;;
236;Colegio Madre Emilia;10,495002;-66,8315218;;ESCUELA;VENEZUELA;;;;;;
237;Colegio Nuestra Señora de La Coromoto;10,4905917;-66,8342932;;ESCUELA;VENEZUELA;;;;;;
238;Colegio Juan Pablo Monet;10,4994419;-66,8279117;;ESCUELA;VENEZUELA;;;;;;
239;U.E. Ricardo Zuloaga;10,4991713;-66,831204;;ESCUELA;VENEZUELA;;;;;;
240;Colegio Eugenia Ravasco;10,5035974;-66,8273974;;ESCUELA;VENEZUELA;;;;;;
241;Liceo Esteban Gil Borges;10,4965454;-66,8288126;;ESCUELA;VENEZUELA;;;;;;
242;Colegio María Inmaculada;10,4957707;-66,8289645;;ESCUELA;VENEZUELA;;;;;;
243;U.E.N. Luis Beltrán Prieto Figueroa;10,4934527;-66,8267617;;ESCUELA;VENEZUELA;;;;;;
244;Escuela Juan Bautista Plaza;10,4973785;-66,8263254;;ESCUELA;VENEZUELA;;;;;;
245;Colegio San Agustín;10,487221;-66,8180538;;ESCUELA;VENEZUELA;;;;;;
246;U.E.E. Lino de Clemente;10,4786049;-66,8188417;;ESCUELA;VENEZUELA;;;;;;
247;Liceo Felife Fermín Paúl;10,4656395;-66,9822009;;ESCUELA;VENEZUELA;;;;;;
248;ETI Leonardo Infante;10,4819654;-66,8160904;;ESCUELA;VENEZUELA;;;;;;
249;Liceo Mariano Picón Salas;10,4803835;-66,8111996;;ESCUELA;VENEZUELA;;;;;;
250;Colegio Juan Pablo II;10,4751894;-66,8201593;;ESCUELA;VENEZUELA;;;;;;
251;Colegio Madre del Divino Pastor;10,4959029;-66,8061488;;ESCUELA;VENEZUELA;;;;;;
252;Colegio Bolívar y Garibaldi;10,5001801;-66,8053817;;ESCUELA;VENEZUELA;;;;;;
253;Liceo Antonio Arráiz;10,4994197;-66,9182024;;ESCUELA;VENEZUELA;;;;;;
254;Liceo Rafael Urdaneta;10,5131393;-66,9061451;;ESCUELA;VENEZUELA;;;;;;
255;Liceo Santos MIchelena;10,5125458;-66,9057701;;ESCUELA;VENEZUELA;;;;;;
256;Colegio Refugio de Mi Infancia;10,4623741;-66,9819272;;ESCUELA;VENEZUELA;;;;;;
257;Liceo Simón Bolívar;10,5131916;-66,9156626;;ESCUELA;VENEZUELA;;;;;;
258;Colegio San Luis;10,4693555;-66,8394035;;ESCUELA;VENEZUELA;;;;;;
259;U.E. Colegio El Ángel;10,4776613;-66,8403294;;ESCUELA;VENEZUELA;;;;;;
260;Colegio Valle Abierto;10,4697788;-66,84295;;ESCUELA;VENEZUELA;;;;;;
261;Escuela Municipal Simón Bolívar;10,4780972;-66,800709;;ESCUELA;VENEZUELA;;;;;;
262;Colegio Caminito;10,4806489;-66,7948414;;ESCUELA;VENEZUELA;;;;;;
263;Colegio Cynthia Rosenberg;10,4833944;-66,8082712;;ESCUELA;VENEZUELA;;;;;;
264;Unidad Educativa Creación UD-4;10,4277279;-66,9763451;;ESCUELA;VENEZUELA;;;;;;
265;U.E. Rafael Seijas;10,4322657;-66,9750878;;ESCUELA;VENEZUELA;;;;;;
266;Colegio San Agustín;10,430497;-66,9751723;;ESCUELA;VENEZUELA;;;;;;
267;U.E. Ramón Díaz Sánchez;10,4333397;-66,9703006;;ESCUELA;VENEZUELA;;;;;;
268;Colegio Bolívar y Palacios;10,4331639;-66,9663142;;ESCUELA;VENEZUELA;;;;;;
